                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     24,               0.042044,               0.030065,               0.016455,              0.0057035,                0.57999,                0.55093,                0.54703,                0.29147,                0.60586,                0.56981,                0.56572,                0.29199,                0.04993,               0.037387,                0.01203,               0.010916,              0.0081025,              0.0081025,              0.0081025
                     25,                0.04273,               0.030429,               0.017316,              0.0051207,                0.56701,                0.54897,                0.54199,                 0.2703,                0.58108,                 0.5198,                0.51778,                0.25435,               0.049704,               0.037734,               0.011988,               0.011959,                0.00802,                0.00802,                0.00802
                     26,               0.041375,               0.029232,               0.016253,               0.004746,                0.61967,                 0.5637,                0.57986,                0.30294,                0.63279,                0.52383,                0.55652,                0.30431,               0.049359,               0.035846,               0.011261,               0.014883,              0.0079375,              0.0079375,              0.0079375
                     27,               0.040672,               0.028412,               0.015766,              0.0044622,                0.62606,                0.48147,                0.50861,                0.27825,                0.58841,                0.45967,                0.47425,                0.24944,               0.050723,                0.04063,                0.01293,               0.023781,               0.007855,               0.007855,               0.007855
                     28,               0.040541,               0.029487,               0.016628,              0.0048039,                0.44866,                0.50297,                0.41165,                0.20436,                0.45274,                0.42799,                0.37399,                0.17512,               0.050619,               0.042175,               0.014526,               0.021847,              0.0077725,              0.0077725,              0.0077725
                     29,               0.040199,               0.028966,               0.015923,              0.0046326,                0.55455,                0.56124,                0.54624,                0.28939,                0.53053,                0.51729,                0.49656,                0.25301,               0.046551,               0.039548,               0.012466,               0.011848,                0.00769,                0.00769,                0.00769
                     30,               0.040656,               0.028804,               0.015929,              0.0038176,                0.61524,                0.60091,                0.57929,                0.30085,                 0.6065,                0.59992,                0.56725,                0.29857,               0.049916,               0.037712,               0.010895,               0.014013,              0.0076075,              0.0076075,              0.0076075
                     31,                0.03971,               0.028835,               0.015819,              0.0041322,                0.64838,                0.61039,                0.64545,                0.35326,                0.61588,                 0.5711,                0.59971,                0.32781,               0.047813,               0.036658,               0.010578,              0.0084267,               0.007525,               0.007525,               0.007525
                     32,               0.038778,               0.027781,               0.015735,              0.0039728,                0.63163,                0.62795,                0.62511,                0.32287,                0.65138,                 0.5598,                0.59075,                0.32563,               0.047474,               0.037188,               0.011177,               0.010418,              0.0074425,              0.0074425,              0.0074425
                     33,               0.038383,               0.027962,               0.015723,              0.0039181,                0.61618,                0.59161,                0.58222,                0.32971,                0.60144,                0.55216,                0.55603,                0.30183,               0.048007,               0.037444,               0.011551,                0.01215,                0.00736,                0.00736,                0.00736
                     34,               0.038381,               0.028471,               0.015807,              0.0040547,                 0.6204,                0.62401,                0.62259,                0.34467,                0.61643,                0.60509,                0.60375,                0.32838,               0.046164,               0.036339,               0.011189,              0.0082893,              0.0072775,              0.0072775,              0.0072775
                     35,               0.038455,               0.027804,                0.01532,              0.0037557,                0.71846,                0.56074,                 0.6448,                0.36375,                0.70434,                0.54114,                0.61064,                0.33581,               0.044534,               0.035265,               0.010921,               0.010086,               0.007195,               0.007195,               0.007195
                     36,               0.038107,               0.027668,               0.015415,              0.0034417,                0.64878,                 0.6431,                 0.6561,                0.35443,                0.65951,                0.58016,                0.61014,                0.32278,               0.045827,               0.036127,               0.011297,              0.0073662,              0.0071125,              0.0071125,              0.0071125
                     37,               0.038048,               0.027764,               0.015442,              0.0036781,                0.72461,                0.62174,                0.66142,                 0.3677,                0.68534,                0.56306,                0.60936,                0.32648,               0.046444,               0.036441,               0.010841,               0.010248,                0.00703,                0.00703,                0.00703
                     38,               0.037455,               0.027541,               0.015302,               0.003649,                0.62618,                0.64119,                0.62829,                0.35471,                0.59215,                0.60089,                0.59462,                0.32001,               0.045143,               0.035926,               0.011072,               0.010571,              0.0069475,              0.0069475,              0.0069475
                     39,               0.037356,               0.026862,               0.014719,              0.0031156,                0.67283,                0.53668,                0.58356,                0.32292,                0.64923,                0.52789,                0.55205,                0.28977,                0.04618,               0.035762,               0.011696,               0.011976,               0.006865,               0.006865,               0.006865
                     40,               0.036854,               0.026736,               0.015059,              0.0028916,                0.63386,                0.61478,                0.61261,                 0.3386,                0.61915,                0.57883,                0.57918,                0.31485,               0.045879,               0.035229,               0.011147,               0.011889,              0.0067825,              0.0067825,              0.0067825
                     41,               0.037119,               0.026957,               0.015027,              0.0031206,                 0.6636,                0.57895,                0.62697,                0.36258,                0.60322,                0.59857,                0.60851,                0.32554,               0.044218,               0.035133,                0.01129,              0.0078583,                 0.0067,                 0.0067,                 0.0067
                     42,               0.036358,               0.026995,                0.01506,              0.0032418,                0.59423,                0.62297,                0.60675,                0.35847,                0.57773,                0.60359,                0.59036,                0.32423,               0.043662,               0.036031,               0.011488,               0.013018,              0.0066175,              0.0066175,              0.0066175
                     43,               0.036231,               0.026749,               0.014716,              0.0032191,                0.68311,                0.59031,                0.63274,                0.36262,                0.62539,                0.56904,                0.59175,                0.32203,               0.045254,               0.035091,               0.010914,               0.011309,               0.006535,               0.006535,               0.006535
                     44,               0.036013,               0.026331,               0.014639,              0.0029256,                 0.6828,                0.60715,                0.64221,                0.36658,                0.66683,                0.60498,                0.62983,                0.35242,               0.043247,               0.035506,               0.011143,              0.0091019,              0.0064525,              0.0064525,              0.0064525
                     45,               0.036275,               0.026897,               0.014737,              0.0028832,                0.63953,                0.51902,                0.58424,                0.30421,                0.61484,                0.47568,                0.53401,                0.27405,               0.046505,               0.036273,               0.011696,               0.011612,                0.00637,                0.00637,                0.00637
                     46,               0.036295,                0.02687,               0.014756,              0.0029422,                0.70424,                0.64033,                0.66322,                0.38831,                 0.6764,                0.60405,                0.62783,                0.36333,               0.042876,               0.034828,               0.010897,              0.0092754,              0.0062875,              0.0062875,              0.0062875
                     47,                0.03547,               0.026039,               0.014542,              0.0029424,                0.65642,                0.57205,                0.59859,                 0.3372,                0.64497,                0.54752,                0.56934,                 0.2956,               0.045028,               0.038676,               0.012074,               0.012573,               0.006205,               0.006205,               0.006205
                     48,               0.035295,               0.025871,               0.014286,              0.0024021,                0.68301,                0.65981,                0.68306,                0.39453,                0.75146,                0.58181,                0.64801,                0.37006,               0.042835,               0.034671,               0.010801,              0.0094299,              0.0061225,              0.0061225,              0.0061225
                     49,               0.034791,               0.026118,               0.014474,              0.0028034,                0.72095,                0.65394,                0.70274,                0.41683,                0.72161,                0.61708,                0.67703,                0.38427,               0.042101,               0.034318,               0.010649,              0.0081635,                0.00604,                0.00604,                0.00604
                     50,               0.034541,                0.02622,                 0.0143,              0.0025615,                0.71477,                0.63391,                0.66076,                0.35504,                0.68186,                0.59924,                0.62647,                0.33823,               0.044592,                0.03603,               0.010771,               0.010931,              0.0059575,              0.0059575,              0.0059575
                     51,               0.034621,               0.026084,               0.014283,              0.0025314,                 0.7189,                0.60948,                0.65877,                0.39771,                0.73257,                0.57846,                0.64917,                0.35998,                0.04194,               0.034209,               0.010723,               0.010454,               0.005875,               0.005875,               0.005875
                     52,               0.034352,               0.025562,               0.013991,              0.0024943,                0.69189,                 0.6249,                0.66145,                0.37774,                0.64298,                0.57422,                0.60943,                 0.3221,               0.043789,               0.036274,               0.011971,                0.01053,              0.0057925,              0.0057925,              0.0057925
                     53,               0.034641,               0.026044,               0.014373,              0.0024148,                0.64589,                 0.6005,                0.63419,                0.37607,                0.72861,                0.52222,                0.58897,                0.32192,               0.043988,               0.036539,               0.010864,               0.011894,                0.00571,                0.00571,                0.00571
                     54,               0.034372,               0.025854,               0.014312,              0.0022848,                0.71515,                0.64479,                0.67962,                0.39401,                0.68595,                0.62315,                0.65028,                 0.3598,               0.042066,                 0.0343,               0.010876,              0.0086308,              0.0056275,              0.0056275,              0.0056275
                     55,               0.033984,               0.025505,               0.014082,                0.00222,                0.72397,                0.60427,                0.66438,                0.40585,                0.68948,                 0.5898,                0.63991,                0.36984,               0.041685,               0.034714,               0.010935,               0.009409,               0.005545,               0.005545,               0.005545
                     56,               0.033727,               0.025452,               0.014168,              0.0022661,                0.66633,                0.64498,                 0.6418,                0.38887,                0.65119,                 0.6168,                0.62394,                0.35162,               0.040798,               0.033357,               0.010973,               0.010065,              0.0054625,              0.0054625,              0.0054625
                     57,               0.032854,               0.025171,               0.013853,               0.002437,                0.72787,                0.64518,                0.67871,                0.39988,                0.73542,                0.61997,                0.67504,                0.35534,               0.040923,                0.03422,               0.010811,              0.0086994,                0.00538,                0.00538,                0.00538
                     58,               0.033276,               0.025186,               0.013751,              0.0024417,                0.71184,                0.65291,                 0.6985,                0.42349,                 0.6779,                0.62455,                0.66453,                0.37985,               0.040227,               0.032636,               0.010616,              0.0067482,              0.0052975,              0.0052975,              0.0052975
                     59,               0.033925,               0.025431,               0.013779,              0.0019984,                0.73399,                0.64458,                0.67736,                0.40573,                0.70985,                0.61098,                0.64048,                0.35956,               0.040871,               0.034771,               0.010813,              0.0091171,               0.005215,               0.005215,               0.005215
                     60,               0.032586,               0.024521,               0.013492,              0.0020629,                0.74173,                0.59211,                0.66184,                0.38807,                0.71256,                0.57097,                0.62487,                0.34781,               0.042169,               0.034969,               0.011297,               0.010292,              0.0051325,              0.0051325,              0.0051325
                     61,               0.031852,               0.024665,               0.013494,              0.0021971,                0.69241,                0.62077,                0.65491,                0.40367,                0.66406,                0.58124,                0.62271,                0.35188,               0.041481,               0.033921,               0.011219,              0.0097389,                0.00505,                0.00505,                0.00505
                     62,               0.032546,               0.024977,               0.013545,              0.0019408,                 0.6542,                0.65183,                0.65363,                0.39869,                0.63127,                0.62267,                0.62048,                0.34008,               0.042229,               0.034014,               0.010828,               0.012499,              0.0049675,              0.0049675,              0.0049675
                     63,               0.032273,               0.024296,               0.013342,               0.002092,                0.67552,                0.67444,                0.68136,                0.40692,                0.72876,                0.57457,                0.64082,                0.35606,               0.041022,                 0.0353,               0.011017,              0.0093555,               0.004885,               0.004885,               0.004885
                     64,               0.032042,               0.024522,               0.013584,              0.0019845,                0.70669,                0.64779,                0.69008,                0.41234,                0.68367,                0.60147,                0.64387,                0.36245,               0.040652,               0.034504,               0.010553,              0.0085316,              0.0048025,              0.0048025,              0.0048025
                     65,               0.032228,               0.024368,                 0.0135,              0.0020759,                0.71035,                0.65264,                0.68456,                0.41003,                 0.6941,                0.61057,                0.65299,                0.36834,                0.04121,               0.034909,               0.010834,              0.0077744,                0.00472,                0.00472,                0.00472
                     66,               0.032072,               0.024329,               0.013105,              0.0017461,                0.74117,                0.64435,                0.68034,                0.42158,                 0.7144,                  0.612,                  0.642,                0.36791,               0.040484,               0.032585,               0.011061,              0.0077143,              0.0046375,              0.0046375,              0.0046375
                     67,               0.031257,               0.023976,               0.012883,              0.0018759,                0.72387,                0.66322,                 0.6997,                 0.4198,                0.73462,                0.63646,                0.68303,                0.39268,               0.039921,               0.032913,                0.01041,              0.0073805,               0.004555,               0.004555,               0.004555
                     68,               0.031549,               0.024414,               0.013551,              0.0018477,                0.71552,                0.68005,                0.69458,                0.42599,                0.73986,                0.60666,                0.65782,                0.38656,               0.040377,               0.033868,                 0.0107,              0.0091152,              0.0044725,              0.0044725,              0.0044725
                     69,               0.031415,               0.024355,                0.01342,              0.0018106,                0.73012,                0.61656,                0.67721,                 0.4097,                 0.7082,                0.58827,                0.64985,                0.37315,                 0.0407,               0.033641,               0.010948,               0.009222,                0.00439,                0.00439,                0.00439
                     70,                0.03042,                0.02368,               0.012802,              0.0018792,                 0.7443,                0.68036,                0.71503,                0.44113,                0.71655,                0.64454,                0.67376,                0.37954,               0.040014,               0.033055,                0.01053,              0.0089283,              0.0043075,              0.0043075,              0.0043075
                     71,                0.03037,               0.023527,               0.012741,              0.0018985,                0.72938,                0.66715,                0.68434,                  0.417,                 0.7003,                0.61927,                0.65048,                0.38002,               0.039921,               0.033087,                0.01063,               0.012049,               0.004225,               0.004225,               0.004225
                     72,               0.030764,               0.024543,               0.012956,              0.0017912,                0.76457,                 0.6625,                0.71365,                0.44664,                0.73331,                0.63528,                 0.6865,                0.39461,               0.039365,               0.032386,               0.010426,              0.0087051,              0.0041425,              0.0041425,              0.0041425
                     73,               0.030393,               0.023731,               0.012838,              0.0015447,                0.77939,                 0.6327,                 0.7052,                0.42624,                0.67723,                0.64948,                0.67482,                0.38029,                0.04028,               0.032638,               0.010515,               0.010529,                0.00406,                0.00406,                0.00406
                     74,               0.030665,                0.02348,               0.012791,              0.0015512,                0.75137,                0.60811,                 0.6788,                0.42916,                0.72382,                0.60725,                0.65758,                0.38073,               0.039309,               0.033017,               0.010822,              0.0091038,              0.0039775,              0.0039775,              0.0039775
                     75,               0.030215,               0.023458,               0.012618,              0.0014685,                0.75438,                0.61535,                0.66871,                0.42011,                0.75398,                0.59498,                0.65052,                0.36847,               0.039393,               0.034514,               0.010895,               0.010593,               0.003895,               0.003895,               0.003895
                     76,               0.030097,               0.023649,               0.012929,              0.0016316,                0.71916,                 0.6571,                0.68836,                0.43263,                0.72878,                0.62176,                0.66494,                0.37847,               0.038885,               0.033023,               0.010475,                0.01034,              0.0038125,              0.0038125,              0.0038125
                     77,               0.030072,               0.023554,               0.012705,              0.0016995,                0.72738,                0.70482,                 0.7055,                0.44219,                0.70566,                0.66354,                0.68117,                0.39713,               0.038264,                0.03175,               0.010696,              0.0090523,                0.00373,                0.00373,                0.00373
                     78,               0.030109,               0.023643,               0.012521,              0.0015038,                0.69371,                0.66189,                0.69566,                0.43075,                0.73556,                0.58445,                0.65981,                0.37767,               0.039303,               0.032498,               0.010723,              0.0092392,              0.0036475,              0.0036475,              0.0036475
                     79,               0.029441,               0.023728,               0.012581,              0.0015336,                0.70337,                0.65248,                0.69055,                0.43429,                 0.7106,                0.61612,                0.67424,                0.38871,               0.038311,               0.032312,               0.010603,               0.011063,               0.003565,               0.003565,               0.003565
                     80,               0.029335,               0.022838,               0.012515,              0.0015826,                0.73814,                0.67567,                0.70186,                0.43352,                0.69986,                0.63198,                0.66027,                 0.3909,               0.038813,               0.032614,               0.010715,               0.008934,              0.0034825,              0.0034825,              0.0034825
                     81,               0.028649,               0.023109,               0.012141,              0.0012614,                0.73045,                0.66142,                0.68712,                0.44142,                0.73958,                0.61175,                0.66087,                0.38639,               0.038757,               0.032141,               0.010548,              0.0094624,                 0.0034,                 0.0034,                 0.0034
                     82,               0.028726,               0.022961,               0.011999,              0.0014261,                0.73578,                0.68373,                0.71513,                0.45359,                 0.7388,                0.62741,                0.68661,                0.39509,               0.038676,               0.032941,               0.010456,              0.0082054,              0.0033175,              0.0033175,              0.0033175
                     83,               0.029053,               0.023392,               0.012398,              0.0014655,                0.78793,                0.62926,                0.70771,                0.45318,                0.77907,                 0.5839,                0.67094,                0.39495,               0.038911,               0.034306,               0.010813,              0.0088367,               0.003235,               0.003235,               0.003235
                     84,               0.028611,               0.022614,               0.012229,              0.0013299,                0.71989,                0.69109,                0.72001,                0.45666,                 0.6928,                0.65559,                0.68929,                0.40062,               0.039299,               0.032502,               0.010801,              0.0078411,              0.0031525,              0.0031525,              0.0031525
