                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                    106,               0.025376,               0.021052,               0.011105,             0.00089692,                0.75434,                0.70732,                0.74293,                0.48104,                0.71562,                0.64969,                0.69567,                0.41526,               0.037025,               0.032587,                0.01055,               0.010191,              0.0013375,              0.0013375,              0.0013375
                    107,                0.02539,               0.020831,                0.01091,              0.0010227,                0.78328,                0.69319,                0.72606,                0.47718,                0.74677,                0.66458,                0.68675,                0.41237,               0.036628,               0.032181,               0.010553,               0.010931,               0.001255,               0.001255,               0.001255
                    108,               0.025437,               0.021169,               0.011205,              0.0010604,                0.80716,                0.70483,                0.75051,                0.49634,                0.76101,                0.67434,                0.70901,                0.43228,               0.036348,               0.031766,               0.010399,              0.0089397,              0.0011725,              0.0011725,              0.0011725
                    109,               0.024783,               0.020694,                0.01081,              0.0011171,                0.80748,                0.69152,                 0.7463,                0.48821,                0.77177,                0.66101,                0.71548,                0.43214,               0.036538,               0.032277,               0.010307,              0.0090981,                0.00109,                0.00109,                0.00109
                    110,               0.025771,               0.021273,               0.011095,              0.0008114,                0.77843,                0.71239,                0.75256,                0.49299,                 0.7301,                0.66851,                0.70725,                0.43401,               0.036539,               0.031961,               0.010221,              0.0095882,              0.0010075,              0.0010075,              0.0010075
                    111,               0.024538,               0.020516,               0.010884,             0.00090474,                0.80702,                0.68442,                0.74356,                0.49168,                0.77059,                0.65436,                0.70576,                0.43807,               0.036545,               0.031984,               0.010303,              0.0096226,               0.000925,               0.000925,               0.000925
                    112,               0.025183,               0.020745,               0.010937,             0.00076799,                0.77959,                0.70292,                0.74459,                0.49677,                0.74864,                0.66757,                 0.7051,                0.43092,               0.036736,               0.032971,               0.010492,               0.010033,              0.0008425,              0.0008425,              0.0008425
                    113,               0.024829,               0.020238,               0.010866,             0.00074781,                 0.7898,                0.69081,                0.75309,                 0.5026,                0.74967,                0.65583,                0.71348,                0.44171,               0.036277,               0.032464,               0.010303,              0.0088406,                0.00076,                0.00076,                0.00076
                    114,               0.025078,               0.020548,               0.010769,             0.00085457,                0.80934,                0.69916,                 0.7632,                0.50649,                0.75333,                0.65562,                0.71361,                0.44407,               0.036105,               0.032247,               0.010433,              0.0082188,              0.0006775,              0.0006775,              0.0006775
                    115,               0.024186,               0.020179,               0.010293,             0.00068315,                  0.817,                0.68873,                0.75339,                0.50747,                 0.7635,                0.65352,                0.71739,                0.43999,               0.036113,                0.03189,               0.010416,              0.0086193,               0.000595,               0.000595,               0.000595
                    116,               0.024136,               0.020247,               0.010599,             0.00084991,                0.81535,                0.68138,                 0.7533,                0.50422,                0.79177,                0.65068,                0.71562,                0.43693,               0.035754,               0.031899,               0.010389,              0.0080204,              0.0005125,              0.0005125,              0.0005125
                    117,               0.023944,               0.019942,               0.010656,             0.00069438,                0.81731,                0.68594,                0.75869,                0.51046,                0.78516,                0.65097,                0.72414,                0.44362,               0.035889,               0.032127,               0.010363,              0.0079002,                0.00043,                0.00043,                0.00043
                    118,               0.024126,                0.01999,               0.010456,             0.00065653,                0.80768,                0.69111,                0.75795,                0.50402,                0.76145,                0.65475,                0.71248,                0.44265,               0.035958,               0.031916,               0.010403,              0.0089436,              0.0003475,              0.0003475,              0.0003475
                    119,               0.023733,               0.020103,                0.01065,             0.00063422,                0.80499,                0.69002,                0.75474,                0.50606,                0.76401,                0.66202,                0.72306,                0.44393,               0.036013,                0.03188,               0.010324,              0.0087719,               0.000265,               0.000265,               0.000265
                    120,                0.81711,                0.68537,                0.75885,                0.51089,                 0.7813,                0.65108,                 0.7238,                0.44364,               0.035891,               0.032135,               0.010361,              0.0079002
